 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | GPU Memory (MB)
35:55 |   270 |     2.500e-05 |     0.2062 |          0.6061 |     0.6061 |            7164
48:35 |   271 |     2.500e-05 |     0.2056 |          0.2861 |     0.2862 |            7164
01:18 |   272 |     2.500e-05 |     0.2054 |          0.3372 |     0.3372 |            7164
13:57 |   273 |     2.500e-05 |     0.2015 |          0.2774 |     0.2774 |            7164
26:42 |   274 |     2.500e-05 |     0.2038 |          0.4393 |     0.4393 |            7164
39:23 |   275 |     2.500e-05 |     0.2026 |          0.2756 |     0.2757 |            7164
52:13 |   276 |     2.500e-05 |     0.2039 |          0.4657 |     0.4657 |            7164
04:57 |   277 |     2.500e-05 |     0.2027 |          0.4657 |     0.4657 |            7164
17:43 |   278 |     2.500e-05 |     0.2052 |          0.2755 |     0.2755 |            7164
30:22 |   279 |     2.500e-05 |     0.2039 |          0.4333 |     0.4334 |            7164
43:05 |   280 |     2.500e-05 |     0.1986 |          0.2903 |     0.2903 |            7164
55:49 |   281 |     1.250e-05 |     0.1565 |          0.2822 |     0.2822 |            7164
08:29 |   282 |     1.250e-05 |     0.1548 |          0.2583 |     0.2583 |            7164
21:08 |   283 |     1.250e-05 |     0.1538 |          0.2809 |     0.2810 |            7164
33:49 |   284 |     1.250e-05 |     0.1531 |          0.2535 |     0.2536 |            7164
46:35 |   285 |     1.250e-05 |     0.1531 |          0.2526 |     0.2526 |            7164
59:27 |   286 |     1.250e-05 |     0.1526 |          0.3219 |     0.3219 |            7164
12:05 |   287 |     1.250e-05 |     0.1530 |          0.2529 |     0.2529 |            7164
24:44 |   288 |     1.250e-05 |     0.1522 |          0.2509 |     0.2510 |            7164
37:25 |   289 |     1.250e-05 |     0.1522 |          0.2598 |     0.2598 |            7164
50:07 |   290 |     1.250e-05 |     0.1520 |          0.3639 |     0.3639 |            7164
02:46 |   291 |     1.250e-05 |     0.1517 |          0.2681 |     0.2682 |            7164
15:34 |   292 |     1.250e-05 |     0.1515 |          0.5102 |     0.5103 |            7164
28:14 |   293 |     1.250e-05 |     0.1513 |          0.3909 |     0.3910 |            7164
40:58 |   294 |     1.250e-05 |     0.1510 |          0.2656 |     0.2656 |            7164
53:43 |   295 |     1.250e-05 |     0.1509 |          0.3687 |     0.3687 |            7164
06:27 |   296 |     1.250e-05 |     0.1503 |          0.3073 |     0.3074 |            7164
19:23 |   297 |     1.250e-05 |     0.1499 |          0.3322 |     0.3322 |            7164
32:08 |   298 |     1.250e-05 |     0.1496 |          0.2979 |     0.2980 |            7164
44:51 |   299 |     1.250e-05 |     0.1496 |          0.4872 |     0.4873 |            7164
57:31 |   300 |     1.250e-05 |     0.1494 |          0.2980 |     0.2981 |            7164
10:17 |   301 |     1.250e-05 |     0.1496 |          0.2688 |     0.2689 |            7164
22:56 |   302 |     1.250e-05 |     0.1492 |          0.2690 |     0.2690 |            7164
35:42 |   303 |     1.250e-05 |     0.1493 |          0.3848 |     0.3848 |            7164
48:26 |   304 |     1.250e-05 |     0.1490 |          0.3006 |     0.3006 |            7164
01:08 |   305 |     1.250e-05 |     0.1487 |          0.2706 |     0.2707 |            7164
13:51 |   306 |     1.250e-05 |     0.1492 |          0.2662 |     0.2662 |            7164
26:40 |   307 |     1.250e-05 |     0.1480 |          0.3346 |     0.3347 |            7164
39:20 |   308 |     1.250e-05 |     0.1483 |          0.2508 |     0.2508 |            7164
52:03 |   309 |     1.250e-05 |     0.1480 |          0.3053 |     0.3054 |            7164
04:44 |   310 |     1.250e-05 |     0.1484 |          0.3343 |     0.3344 |            7164
